,username,user_id
0,Mira,1596640357235789828
1,Фаридун Ниезов,1596979871611330562
2,Andris Tobiess,2980453289
3,Рами Зейдан,1596977568665817096
4,Mr.Nobody🐦,1594212329138552832
5,Володимир,1518770391250083843
6,Варвара Чистякова,1593841903656648709
7,Natalia,1321929966502744066
8,Аkram,1594401457712898049
9,ясмина,1486422918598955008
10,Thomas burbel,1596925798082043904
11,Александр Блинков,1596963406526963719
12,Lynn Wallace,1596956337367400448
13,Alina Pogila,1596958048454590464
14,Палто Игорь,1585868347236929536
15,jbanas,4925160897
16,Светлана Григорян,1596948817496215553
17,Pavel Kurtanidze,1596946968101666816
18,Jonibek Axmadov,1596937064930476037
19,Владислав Хан,1596936898475327489
20,Jamshid Akbarov,1586426773146898432
21,Nice Reply Guy,1596924517661687809
22,Juan Gerardo Hernández,1249636304
23,Ольга,986939907833819136
24,OmeAichi,1596926962479636485
25,Александр Барбос,1596923132127870976
26,Suhrob Dodov,1596922580878909440
27,Dostonjo Ikromov,1596923341503348741
28,Jamol Hasanov,1596915959045963777
29,Behzod Zubaidov,1596918493651386372
30,Александр Сильченко,1147313498
31,Андрей Филиппов,1353970341119459328
32,Terrarium,1112451023220760578
33,Elshad Abdullayev,1596912546824552450
34,Anita Drink,1587289486475534337
35,Suhrob Maxammadiev,1596910612243779585
36,Jill Franco,1596906804654624786
37,Ruslan Mikuljak,1596904419794321408
38,Юрий,1596901699456745473
39,Sharaf,1596900221740531714
40,Elbek Xudoyberdiyev,1596898471877005312
41,tony,1596115365045538821
42,Лариса,1596894733468581894
43,Idris Khojakhonov,1596888413298368512
44,lena.matveeva,889199860934737920
45,Iurie,1596875379188310017
46,Isfandier Jabborov,1556609643836743683
47,Nazirjon Maxmudov,1596885843859410944
48,Muhammad Fatur,1586929734637613057
49,pavelfate,499774217
50,NickZ,1596433759800279041
51,abdullo,1594316078141919232
52,евгений пекшеев,1457305240324251653
53,Ali,1596874795722866689
54,ibrag1mov_154,1596872967182483456
55,Алиакбар,1596871796791414785
56,SamuelAdamsBoston,1591890185750552577
57,dilshod,1596868452844806144
58,Abror Atajonov,1596867057542483970
59,KENさん,1455843328939880448
60,Nadejda Макарова.,1596495837567373323
61,Damir,1596860680983937024
62,Милена Юсупова,1596860079692812289
63,Григор Овсеп,1596513206154969091
64,Ruziev Alisher,1596854835546099713
65,Patricia Sykes,1596851562105765888
66,Jafarov.s7,1596845753896472576
67,Aleksandrs Gončarovs,1596843399751032832
68,Anjela Axalaia,1596845279344529408
69,MuRongyunluo,1564626336488034309
70,Вероника Князева,1593911558748372994
71,nn nn,1567116049002233857
72,Сабаа,1596834322136301568
73,Тайванхүү Ө,1579107688645988353
74,Vitali Scerbina,1590660298964406272
75,Алёна Воробьева,1596116367563972609
76,Олег,1371117253983399936
77,Aleksandr,87941181
78,Shahboz Badiyev,1596819876777267200
79,Herr gut,1596820366332149760
80,Davita Securyt,1596819731255787521
81,жужу,1500852164415086596
82,Farid,1596813713830453253
83,Calogero Galvano,1582328007276085248
84,юрий зернов,1473714334639472651
85,Sergey,852688189932187648
86,Thorny !,873512585454391296
87,Абдулло,1596800700360671235
88,stan karayan,2418187635
89,stalarwit,115426482
90,@alisa,1596795479060250625
91,Beth Anderson,1596791286442475521
92,noname citizen,1542522388289507339
93,Olga Svetkova,1525865910942195712
94,Bundesbürger MüllerMeyerSchmidt*️⃣,1168797330503548928
95,Сергей Москалев,1551856482064470016
96,Maria Zavala,1596788189179559936
97,Sharon Salazar,1596787405306077185
98,Maria Zilova,1596782487975378944
99,Alina,1498979017873055744
100,Shamanka,1596782952758878209
101,Gangstabob Nwordpants,1504915827757223938
102,Хамза Шарипкулов,3368055316
103,Mr Twita,2320991876
104,kang,1596771760740900865
105,Andrea Nash,1596772815017021440
106,Artem,1596771287199895553
107,miraliev bahodur,1596770571311800322
108,Surat,1596768962108395521
109,Solnechny Volk,1596761997021945857
110,Alexandr Chelombijev,1443541076980154377
111,Mohsin Hassan,1543290053845450752
112,Оятулло,1596759851622858760
113,Ifeanyi Michael,1530196507906932736
114,arthur108,1596756465586413571
115,Ереван Армения Երևան Yerevan հայաստան Armenia,1595849575851499520
116,Shahboz Halimov,1596754482423005189
117,Alizar Muzafarov,1591509922738585602
118,Saidakhmat B. Rakhimov,1584215822188298245
119,rlg,1523065177389903878
120,XGAMMA,1596727229471461378
121,Вадим Александрович Чистяков,1596742625792610306
122,lika,1592052939501326337
123,Adrian Burtel,1594744671946915841
124,koba gotsiridze,1168564453
125,Ereke,1596725343523672064
126,Kim Turner,1596728965577969664
127,Roshan Singh 🚩🇮🇳🚩,1542182372635947008
128,Пивас,1596724546672926720
129,Александр,1596727148080930817
130,Bamrungwhite,2814362876
131,Jodi King,1596720906373861376
132,Виктор,1596718625867665408
133,Raximberdi Mamadaliyev,1596720705521033216
134,отабек,1596711856139341828
135,Rayhon Umedova,1596712733419913217
136,Бахром Иргашев,1596712645284995072
137,Timur Mirjalalov,1589169015171293184
138,Ксения,1596680242667601921
139,sulton mirzoev,1596684318134370305
140,Azamjon Sattorov,1596681084263088130
141,DHNNY,1521268230
142,Alexander Novoselov,448030049
143,jo jenkins,177350513
144,EKATERINA,1596661016682790912
145,Ясень,1596657127396937728
146,jake,1585347437996249088
147,Halil Ibrohim,1589420656273375237
148,SK,48014319
149,暖阳,1588176179336736769
150,Royal Tulips,1596648966774464514
151,Tanya Mironova,1596648679942881283
152,Forrest,1191200024765575171
153,Inga,1596634314615230471
154,Henrry Hoshkovic 🇷🇺,1592274810352021504
155,Gérard Depardieu,1505955441007730691
156,Референдум по вопросу выхода Сергиевского Подворья,1583807699195760640
157,Levon Manukyan,1596623824396623874
