,username,user_id
0,Кази Лайпанов,1588312554677452806
1,Yurii,1596981504885882883
2,Рами Зейдан,1596977568665817096
3,Shearai,1589978210011422721
4,Диана,1596977208756785153
5,Аkram,1594401457712898049
6,V L,1596967870948413440
7,Dmitry,1596967215915569157
8,Александр Блинков,1596963406526963719
9,Alexander Gak,1596959618789425152
10,Boris Walt,1362112154036555777
11,RuPy Exportador,1596957513424986113
12,Роман,1581593865634578433
13,Дмитрий,478345914
14,leonard Bernstein,1596951098530594816
15,Дониёрбек Тохиров,1596943261498843138
16,Александр Барбос,1596923132127870976
17,vick*toria,2823960606
18,Yurii,336422357
19,Alisa,1497716201321115648
20,Jonibek Axmadov,1596937064930476037
21,Феруза Бакиева,1596937400307142667
22,Furkat,1596937111348862976
23,Никита Штин,1596935102583508992
24,Denis Kostyukov,1526199049313034240
25,Ruslan Ivanov,1596933307073273857
26,Anvar Yakubov,1596922139499806720
27,Georgy Kepler,1596931654089580545
28,Clear_guy,1596930901425930241
29,Леся Ларькина,1596930461573550080
30,Deputat Kuzya,1587671369034104838
31,Gor Gor,1596929102627364864
32,Juan Gerardo Hernández,1249636304
33,динара,1429595706705252363
34,Руслан Мемет,1596923909667954688
35,Сергей,1484705363937185792
36,Vladimir Demidkin,1596921267810082819
37,msa,1596920571685584901
38,Софья Солошенко,1596925767585251330
39,Мақсат Раматалы,1596924634707898369
40,Мария,1596922991513845763
41,sem1212,1596921882170851328
42,NickZ,1596433759800279041
43,ShlyahtovAV,1272080934658101250
44,Ahmet Dosyyev,1596922502671998985
45,CyberKazakh,1596916397069815809
46,Behzod Zubaidov,1596918493651386372
47,yes🇨🇳,1595632061221687298
48,Елизавета,1596919241462239233
49,Александр Сильченко,1147313498
50,Адилет Толобай уулу,1596917249142554627
51,Edouard,1596914949741330435
52,Lijuandiao,1596913366273957888
53,BIG A$AP🐦,1596888066261716993
54,Elshad Abdullayev,1596912546824552450
55,eduard antonyan,2958625873
56,Аманкелди Айткулов,1596911082563567620
57,Фозилбой,1451570990379671552
